Count: 1448 | File: h2182.tex: | Command \item invalid in math mode.
Count: 117 | File: fkswm.tex: | "equation" env expecting \end{equation}. Instead got \end{array}
Count: 1703 | File: Cohen_Tan_LegendreFcns_v2.tex: | Malformed argument. First and last elements must match a valid argument format. In this case, TexSoup could not find matching punctuation for: {.
Count: 1 | File: ventalk.tex: | "document" env expecting \end{document}. Instead got \end{table}
Count: 78 | File: merger_rev.tex: | "equation" env expecting \end{equation}. Reached end of file.
Count: 47 | File: apj_submitted_lattice.tex: | "document" env expecting \end{document}. Instead got \end{abstract} command. The uncommented
Count: 1129 | File: DMNuMass_PRD.tex: | "$" env expecting $. Reached end of file.
Count: 232 | File: rhorho_preprint.tex: | 'TexMathModeEnv' object has no attribute 'find_all'
Count: 44 | File: nuoscillation-IJMPA-revised.tex: | "document" env expecting \end{document}. Instead got \end{array}\
Count: 4 | File: LG_mod_revised.tex: | "array" env expecting \end{array}. Instead got \end{document}
Count: 1 | File: excepunits_postfinal.tex: | "document" env expecting \end{document}. Instead got \end{smallmatrix}
Count: 1336 | File: eccprd.tex: | 'utf-8' codec can't decode byte
Count: 124 | File: isoEPL2.tex: | 
Count: 218 | File: vienna.tex: | "eqnarray" env expecting \end{eqnarray}. Reached end of file.
Count: 131 | File: 4626.tex: | "math" env expecting \). Reached end of file.
Count: 83 | File: quint5.tex: | "equation" env expecting \end{equation}. Instead got \end{document}
Count: 185 | File: sprime_lanlv2.tex: | "equation" env expecting \end{equation}. Instead got \end{array}\
Count: 145 | File: PUB_0lepton2010.tex: | list index out of range
Count: 9 | File: Monophilic-4.tex: | "proof" env expecting \end{proof}. Instead got \end{document}
Count: 6 | File: diffusionmcmc.tex: | "displaymath" env expecting \end{displaymath}. Instead got \end{array}\
Count: 8 | File: lampensp1.tex: | "tabular" env expecting \end{tabular}. Instead got \end{center}
Count: 67 | File: ss-phase.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{document}
Count: 10 | File: MashchenkoS.tex: | "abstract" env expecting \end{abstract}. Instead got \end{document}
Count: 48 | File: jstars.tex: | "document" env expecting \end{document}. Reached end of file.
Count: 3 | File: sxdf8506_hatsukade.tex: | "deluxetable" env expecting \end{deluxetable}. Instead got \end{document}
Count: 3 | File: ent_dyn.tex: | "enumerate" env expecting \end{enumerate}. Instead got \end{document}
Count: 14 | File: ICC_2010_final_version.tex: | "align" env expecting \end{align}. Instead got \end{array}\
Count: 2 | File: resubmit2.tex: | "align" env expecting \end{align}. Instead got \end{matrix}\
Count: 40 | File: CdCr2O4_09.tex: | "displaymath" env expecting \]. Reached end of file.
Count: 1 | File: kpot_NPA.tex: | "equation" env expecting \end{equation}. Instead got \end{quote}}
Count: 4 | File: CKM2010-TauCharmExperiments-zyh.tex: | "large" env expecting \end{large}. Reached end of file.
Count: 5 | File: pereiram.tex: | "minipage" env expecting \end{minipage}. Instead got \end{document}
Count: 10 | File: ncKdV.tex: | "eqnarray*" env expecting \end{eqnarray*}. Reached end of file.
Count: 7 | File: nicvbb3.tex: | "references" env expecting \end{references}. Instead got \end{document}
Count: 3 | File: ggwriteup4.tex: | "document" env expecting \end{document}. Instead got \end{split}
Count: 54 | File: RadarSVM1.tex: | "eqnarray" env expecting \end{eqnarray}. Instead got \end{array}
Count: 75 | File: hotQuarks_pro2010_131010.tex: | Malformed argument. First and last elements must match a valid argument format. In this case, TexSoup could not find matching punctuation for: [.
Count: 3 | File: D0K0K0BarFinal.tex: | "equation" env expecting \end{equation}. Instead got \end{aligned}\
Count: 1 | File: LinePatterns.tex: | "itshape" env expecting \end{itshape}. Reached end of file.
Count: 2 | File: kcal.tex: | "deluxetable" env expecting \end{deluxetable}. Instead got \end{deluxetable*}
Count: 28 | File: sbat-12.tex: | "figure" env expecting \end{figure}. Instead got \end{document}
Count: 1 | File: hpoly.tex: | "document" env expecting \end{document}. Instead got \end and corner flips, crankshafts,
Count: 3 | File: paciae_64.tex: | "equation" env expecting \end{equation}. Instead got \end{aligned}
Count: 9 | File: multiring.tex: | "itemize" env expecting \end{itemize}. Reached end of file.
Count: 1 | File: GT16.tex: | "thebibliography" env expecting \end{thebibliography}. Reached end of file.
